Team,Rec,Delta,Rat,Pwr,Off,Def,HFA,SoS,Year
Jacksonville StNCAA D1,15-170.469,,2066.83,16931.07,29488.18,9420.46,2.75,19428.46,25-26
San Jose StNCAA D1,9-240.273,,2076.82,19329.69,18291.32,22215.95,2.81,8635.78,25-26
E WashingtonNCAA D1,14-190.424,,2086.81,18929.82,13493.18,28014.21,2.84,14130.89,25-26
CampbellNCAA D1,16-180.471,,2096.8,20428.78,15592.29,28814.07,2.73,15929.77,25-26
RiceNCAA D1,13-180.419,1,2106.8,19929.14,23689.93,19516.79,2.8,13831.05,25-26
Coastal CarNCAA D1,19-130.594,-1,2116.79,26625.71,34686.71,20116.58,2.93,21028.16,25-26
WoffordNCAA D1,19-130.594,,2126.79,21628.25,16891.79,29114.04,2.75,27426.44,25-26
Texas StNCAA D1,19-130.594,,2136.79,21628.25,28988.47,17617.35,2.8,28526.02,25-26
Florida IntlNCAA D1,15-170.469,,2146.76,21528.35,15192.51,32213.41,2.88,16529.41,25-26
OhioNCAA D1,15-170.469,,2156.76,19629.35,13293.37,31513.56,2.96,18228.84,25-26
Weber StNCAA D1,16-160.500,,2166.76,20029.11,15392.47,27914.22,2.91,21528.01,25-26
Loyola-ChicagoNCAA D1,9-240.273,1,2176.75,17930.48,29088.36,11619.7,2.87,10333.61,25-26
Indiana StNCAA D1,11-210.344,-1,2186.75,16431.26,13992.97,22415.87,2.91,13731.07,25-26
DetroitNCAA D1,17-150.531,,2196.75,25226.33,25289.59,27714.32,2.95,20728.21,25-26
PFWNCAA D1,17-150.531,,2206.75,22227.91,19791.02,26814.47,2.85,23227.53,25-26
UMBCNCAA D1,24-90.727,1,2216.74,24326.75,24089.88,27114.44,2.69,35221.66,25-26
WI Green BayNCAA D1,18-150.545,-1,2226.74,26925.54,30987.9,24215.22,2.81,19728.44,25-26
DrexelNCAA D1,17-160.515,,2236.73,20628.68,40085.34,8720.92,2.89,25626.79,25-26
ColumbiaNCAA D1,16-120.571,,2246.73,24626.74,24289.84,26914.47,2.75,25226.86,25-26
VermontNCAA D1,22-120.647,,2256.73,22727.59,36386.25,14118.92,2.85,33723.2,25-26
QuinnipiacNCAA D1,19-130.594,,2266.72,22627.59,22290.36,25414.8,2.74,29225.52,25-26
MaristNCAA D1,19-120.613,,2276.71,23227.3,44984.05,8820.83,2.73,31924.26,25-26
BuffaloNCAA D1,17-150.531,1,2286.7,24826.62,18991.13,33213.07,2.74,23827.38,25-26
S Dakota StNCAA D1,14-180.438,-1,2296.7,17830.49,19191.11,19116.96,2.92,22327.75,25-26
Tarleton StNCAA D1,14-180.438,,2306.7,20528.71,26489.17,18417.12,2.93,18428.78,25-26
LIU BrooklynNCAA D1,24-110.686,,2316.69,29124.39,34986.69,24115.28,2.89,32224.17,25-26
San DiegoNCAA D1,12-210.364,,2326.69,23027.38,19091.11,30213.85,2.87,13031.63,25-26
New OrleansNCAA D1,15-180.455,1,2336.69,27125.47,18891.18,36811.87,2.85,14330.87,25-26
Abilene ChrNCAA D1,14-190.424,-1,2346.69,21927.96,32387.55,16717.99,2.93,17529.12,25-26
HowardNCAA D1,24-110.686,,2356.68,24926.52,23090.08,29314.01,2.8,35421.5,25-26
La SalleNCAA D1,9-230.281,,2366.68,22127.92,30787.92,17217.57,2.91,10234.02,25-26
East CarolinaNCAA D1,11-200.355,,2376.68,21228.51,22090.45,23015.64,2.83,13431.24,25-26
Cal PolyNCAA D1,14-190.424,,2386.67,24126.88,9295.63,4628.82,2.78,15030.17,25-26
W CarolinaNCAA D1,15-160.484,,2396.67,25126.49,22190.43,31313.64,2.88,20128.33,25-26
TN MartinNCAA D1,22-110.667,,2406.66,27225.42,46083.61,12619.39,2.8,34422.82,25-26
Youngstown StNCAA D1,15-170.469,,2416.66,21028.54,26189.28,19416.84,2.73,25326.85,25-26
IonaNCAA D1,18-140.563,,2426.66,23327.24,25889.39,23715.42,2.88,29125.63,25-26
UTEPNCAA D1,11-200.355,,2436.66,20828.64,33287.25,14018.96,2.86,14930.17,25-26
Nicholls StNCAA D1,14-190.424,,2446.65,22527.61,26289.22,22115.97,2.79,17828.99,25-26
North DakotaNCAA D1,18-170.514,,2456.64,26725.67,24589.78,32013.46,2.81,25926.74,25-26
Stony BrookNCAA D1,17-150.531,,2466.64,27525.12,33987.08,23115.61,2.89,24826.97,25-26
UNC AshevilleNCAA D1,15-170.469,3,2476.63,23427.22,29188.36,20616.43,2.84,25426.85,25-26
St Peter'sNCAA D1,17-120.586,,2486.63,26125.87,41185.03,15318.42,2.78,30225.06,25-26
SE Missouri StNCAA D1,20-130.606,-2,2496.63,25826.05,33487.22,20716.4,2.78,33023.81,25-26
NE OmahaNCAA D1,16-170.485,-1,2506.62,25326.23,24989.64,28414.17,2.81,24926.95,25-26
FGCUNCAA D1,16-180.471,,2516.6,23527.13,28088.63,21716.08,2.84,27226.49,25-26
FairfieldNCAA D1,21-130.618,,2526.6,28924.55,33587.17,25014.96,2.68,33123.64,25-26
DenverNCAA D1,15-170.469,1,2536.59,26225.86,12893.76,4309.68,2.85,21328.09,25-26
Morehead StNCAA D1,20-130.606,-1,2546.59,28424.72,33887.09,24415.2,2.82,32823.87,25-26
ColgateNCAA D1,18-150.545,,2556.59,24026.94,22390.34,28314.17,2.84,30824.68,25-26
WI MilwaukeeNCAA D1,12-200.375,,2566.56,23927.01,21290.66,29513.92,2.88,16629.41,25-26
ElonNCAA D1,14-180.438,1,2576.56,26025.9,22490.26,32813.21,2.8,22127.79,25-26
UNC GreensboroNCAA D1,15-190.441,1,2586.55,25526.21,21690.57,32713.22,2.79,25526.81,25-26
Idaho StNCAA D1,13-200.394,1,2596.55,24926.52,27088.93,24615.17,2.82,20428.22,25-26
PrincetonNCAA D1,9-200.310,1,2606.55,21128.54,34187.06,13519.05,2.79,15829.81,25-26
RadfordNCAA D1,16-160.500,-4,2616.55,23827.05,16691.85,34012.78,2.72,30724.77,25-26
Old DominionNCAA D1,12-210.364,,2626.54,24526.75,22690.2,28514.12,2.94,17329.13,25-26
SIUENCAA D1,20-130.606,,2636.52,26525.78,44684.2,13219.16,2.78,35321.54,25-26
PresbyterianNCAA D1,15-180.455,5,2646.51,27625.11,37685.94,19816.74,2.77,28226.19,25-26
ChattanoogaNCAA D1,13-190.406,,2656.51,20228.87,16791.82,26214.63,2.7,29025.71,25-26
