season,team,team_key,level,conference_2020_21,wins,losses,win_pct,delta,rating_rank,rating,power_rank,power,offense_rank,offense,defense_rank,defense,hfa,sos_rank,sos,source_row
2025-26,Murray St,murray st,NCAA D1,,20.0,13.0,0.606,,124.0,7.26,129.0,33.74,69.0,97.44,298.0,13.87,2.9,119.0,32.35,125
2025-26,UC Irvine,uc irvine,NCAA D1,,23.0,12.0,0.657,,125.0,7.24,109.0,35.78,178.0,91.44,71.0,21.91,2.83,191.0,28.62,126
2025-26,Oregon St,oregon st,NCAA D1,,17.0,16.0,0.515,,126.0,7.24,122.0,34.26,172.0,91.65,104.0,20.18,2.92,101.0,34.04,127
2025-26,Kent,kent,NCAA D1,,24.0,10.0,0.706,,127.0,7.22,143.0,32.72,11.0,94.78,235.0,15.52,2.74,187.0,28.69,128
2025-26,UC San Diego,uc san diego,NCAA D1,,23.0,11.0,0.676,,128.0,7.21,128.0,33.94,231.0,90.04,8.0,21.48,2.67,195.0,28.45,129
2025-26,Troy,troy,NCAA D1,,22.0,12.0,0.647,,129.0,7.19,137.0,33.15,184.0,91.31,124.0,19.41,2.82,174.0,29.13,130
2025-26,Duquesne,duquesne,NCAA D1,,18.0,15.0,0.545,,13.0,7.18,133.0,33.49,14.0,92.97,164.0,18.1,2.72,124.0,31.75,131
2025-26,Kennesaw,kennesaw,NCAA D1,,21.0,14.0,0.6,3.0,13.0,17.16,145.0,32.7,89.0,95.93,274.0,14.34,2.8,156.0,29.89,132
2025-26,Washburn,washburn,NCAA D2,,31.0,2.0,0.939,,13.0,27.16,13.0,33.64,154.0,92.4,143.0,18.82,2.76,384.0,15.05,133
2025-26,IL Chicago,il chicago,NCAA D1,,19.0,16.0,0.543,-2.0,13.0,37.15,142.0,32.74,171.0,91.67,15.0,18.64,2.75,125.0,31.74,134
2025-26,S Illinois,s illinois,NCAA D1,,16.0,16.0,0.5,-1.0,134.0,7.15,123.0,34.2,218.0,90.47,83.0,21.3,2.87,111.0,32.63,135
2025-26,St Bonaventure,st bonaventure,NCAA D1,,17.0,17.0,0.5,,135.0,7.14,125.0,34.14,141.0,92.9,144.0,18.82,2.87,122.0,31.91,136
2025-26,Tulane,tulane,NCAA D1,,18.0,15.0,0.545,2.0,136.0,7.13,156.0,31.59,17.0,91.7,174.0,17.47,2.91,117.0,32.37,137
