target,source_conference,rows,mae,median_abs_error,mean_error,actual_mean,prediction_mean
bpr,ACC,18,1.2146933182058335,0.6988211585678219,-0.5718324818483252,1.9233333333333331,1.351500851485008
bpr,Southland,8,1.2110179363201654,0.8945068838127797,-0.9650977575487131,1.4849999999999999,0.5199022424512868
bpr,CCAA,6,1.197375702896945,1.1631250203109529,1.197375702896945,-0.5416666666666666,0.6557090362302783
bpr,Atlantic 10,9,1.1258874189111128,0.6829139837006464,-0.8400120766911809,0.54,-0.3000120766911809
bpr,Summit,5,1.1097141676074802,0.7236128404203752,0.5805959387839987,0.6859999999999999,1.2665959387839987
bpr,Sun Belt,9,0.9727247193263963,1.063710561716242,0.2799451919160831,0.8177777777777778,1.097722969693861
bpr,Southern,5,0.9380655372849352,0.8168966684273307,-0.8824839274135632,2.1100000000000003,1.227516072586437
bpr,OVC,3,0.9345627481491964,0.5863910943062476,-0.5423930368569715,2.6799999999999997,2.1376069631430283
bpr,SSC,4,0.904386834880988,0.7188244240588034,-0.5490076320444844,1.625,1.0759923679555157
bpr,RMAC,4,0.8808672489174194,0.44394138905112757,-0.4369258598662919,1.8175,1.3805741401337082
bpr,American,1,0.8576672109258314,0.8576672109258314,-0.8576672109258314,2.18,1.3223327890741687
bpr,A-Sun,7,0.8191285898872126,0.8394606973999723,-0.4277830151150826,2.2485714285714287,1.8207884134563461
bpr,NEC,2,0.7870115827929253,0.7870115827929253,-0.7870115827929253,2.64,1.8529884172070745
bpr,Big South,5,0.7530309550667513,0.675194990626165,-0.7433848269070089,2.632,1.888615173092991
bpr,Northeast,1,0.7502377532598974,0.7502377532598974,-0.7502377532598974,1.64,0.8897622467401025
bpr,PacWest,6,0.6646119043819697,0.6190463389370509,0.1173531767844948,0.75,0.8673531767844948
bpr,Horizon,5,0.6228044679576162,0.1642608001224963,0.19001949053745526,1.1380000000000001,1.3280194905374554
bpr,Ivy,2,0.5244322416847296,0.5244322416847296,0.463645870435316,0.51,0.9736458704353159
bpr,Ohio Valley,3,0.5033032400274841,0.372256158478631,0.39996751082688115,-0.36666666666666664,0.033300844160214504
bpr,LSC,1,0.4107629338731171,0.4107629338731171,-0.4107629338731171,1.5,1.0892370661268829
bpr,Patriot League,1,0.0925915295353385,0.0925915295353385,-0.0925915295353385,0.74,0.6474084704646614
porpag,SIAC,1,1.8764087490006145,1.8764087490006145,1.8764087490006145,-0.581764,1.2946447490006143
porpag,MVC,12,1.4958874288017723,1.0607287634294953,0.6550660757164509,0.6939327500000001,1.348998825716451
porpag,GAC,2,1.3938997632200234,1.3938997632200234,-0.7099257156170942,2.1447564999999997,1.4348307843829058
porpag,SEC,19,1.253372260087416,1.1242886544509556,-0.24214542811364556,1.772570294736842,1.5304248666231965
porpag,GLVC,3,1.233493556413978,0.2834779834895662,0.9994725156030793,0.14857066666666663,1.1480431822697459
porpag,ASUN,3,1.1896954317946384,1.2398511521101088,0.363127997054566,1.0744943333333332,1.4376223303878994
porpag,MEAC,4,1.180534234696161,0.9859819212574853,0.23364682343716003,0.79439,1.02803682343716
porpag,Ind,1,1.135811752319915,1.135811752319915,1.135811752319915,0.823855,1.959666752319915
