player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,missing_column
Chuks Isitua,Mountain West,D1,IUPUI,Fresno State,2021-22,2022-23,big_west_obpr
Pierre Geneste,Mountain West,D1,Louisiana Tech,Fresno State,2022-23,2023-24,big_west_obpr
David Douglas,Mountain West,D1,Green Bay,Fresno State,2023-24,2024-25,big_west_obpr
Hunter McIntosh,Mountain West,D1,Elon,Nevada,2021-22,2022-23,big_west_obpr
Tyler Powell,Mountain West,D1,Seton Hall,Nevada,2021-22,2022-23,big_west_obpr
Tylan Pope,Mountain West,D1,Tulane,Nevada,2022-23,2023-24,big_west_obpr
Isaiah Cottrell,Mountain West,D1,West Virginia,UNLV,2021-22,2022-23,big_west_obpr
Shane Nowell,Mountain West,D1,Arizona,UNLV,2021-22,2022-23,big_west_obpr
Jalen Hill,Mountain West,D1,Oklahoma,UNLV,2022-23,2023-24,big_west_obpr
Jace Whiting,Mountain West,D1,Boise State,UNLV,2023-24,2024-25,big_west_obpr
Ladji Dembele,Mountain West,D1,Iowa,UNLV,2024-25,2025-26,big_west_obpr
Isaac Mushila,Mountain West,D1,Texas A&M–Corpus Christi,New Mexico,2022-23,2023-24,big_west_obpr
Nelly Junior Joseph,Mountain West,D1,Iona,New Mexico,2022-23,2023-24,big_west_obpr
Atiki Ally Atiki,Mountain West,D1,Brigham Young,New Mexico,2023-24,2024-25,big_west_obpr
Ibrahima Sacko,Mountain West,D1,Georgia Tech,New Mexico,2023-24,2024-25,big_west_obpr
Chris Howell,Mountain West,D1,UC San Diego,New Mexico,2024-25,2025-26,big_west_obpr
Kevin Patton,Mountain West,D1,Southern California,New Mexico,2024-25,2025-26,big_west_obpr
Milos Vicentic,Mountain West,D1,UC San Diego,New Mexico,2024-25,2025-26,big_west_obpr
Reese Dixon-Waters,Mountain West,D1,Southern California,San Diego State,2022-23,2023-24,big_west_obpr
Kimo Ferrari,Mountain West,D1,Brown,San Diego State,2023-24,2024-25,big_west_obpr
Chol Marial,Mountain West,D1,Oregon State,San Jose State,2023-24,2024-25,big_west_obpr
Steven Vasquez,Mountain West,D1,Fresno State,San Jose State,2023-24,2024-25,big_west_obpr
JaVaughn Hannah,Mountain West,D1,Western Michigan,San Jose State,2024-25,2025-26,big_west_obpr
Marcus Overstreet,Mountain West,D1,Mercer,San Jose State,2024-25,2025-26,big_west_obpr
Daniel Akin,Mountain West,D1,California Baptist,Utah State,2021-22,2022-23,big_west_obpr
Jackson Grant,Mountain West,D1,Washington,Utah State,2022-23,2023-24,big_west_obpr
Max Agbonkpolo,Mountain West,D1,Wyoming,Utah State,2022-23,2023-24,big_west_obpr
Nigel Burris,Mountain West,D1,Idaho,Utah State,2022-23,2023-24,big_west_obpr
Braden Housley,Mountain West,D1,Southern Utah,Utah State,2023-24,2024-25,big_west_obpr
Luke Kearney,Mountain West,D1,Air Force,Utah State,2024-25,2025-26,big_west_obpr
Jake Kyman,Mountain West,D1,UCLA,Wyoming,2021-22,2022-23,big_west_obpr
Max Agbonkpolo,Mountain West,D1,Southern California,Wyoming,2021-22,2022-23,big_west_obpr
Oleg Kojenets,Mountain West,D1,Nebraska,Wyoming,2022-23,2023-24,big_west_obpr
Scottie Ebube,Mountain West,D1,Southern Illinois,Wyoming,2023-24,2024-25,big_west_obpr
Jared Harris,Mountain West,D1,Memphis,Wyoming,2024-25,2025-26,big_west_obpr
Jarvis Moss,Atlantic 10,D1,Stanford,Davidson,2022-23,2023-24,big_west_obpr
Joe Hurlburt,Atlantic 10,D1,Colorado,Davidson,2023-24,2024-25,big_west_obpr
"JaQualon ""JQ"" Roberts",Atlantic 10,D1,Vanderbilt,Davidson,2024-25,2025-26,big_west_obpr
Richard Amaefule,Atlantic 10,D1,East Tennessee State,Dayton,2020-21,2022-23,big_west_obpr
Isaac Jack,Atlantic 10,D1,Buffalo,Dayton,2022-23,2023-24,big_west_obpr
Jacob Conner,Atlantic 10,D1,Marshall,Dayton,2023-24,2024-25,big_west_obpr
Joseph Reece,Atlantic 10,D1,Bowling Green,Duquesne,2021-22,2022-23,big_west_obpr
Dusan Mahorcic,Atlantic 10,D1,NC State,Duquesne,2022-23,2023-24,big_west_obpr
Hassan Drame,Atlantic 10,D1,La Salle,Duquesne,2022-23,2023-24,big_west_obpr
Stef van Bussel,Atlantic 10,D1,Saint Louis,Duquesne,2023-24,2025-26,big_west_obpr
Jack Whitbourn,Atlantic 10,D1,UC Riverside,Fordham,2024-25,2025-26,big_west_obpr
Desmond Watson,Atlantic 10,D1,Davidson,Loyola Chicago,2022-23,2023-24,big_west_obpr
