player_name,source_school,source_season,target_conference,source_level,source_games,college_stat_seasons_before_transfer,college_stat_seasons_source,source_url,outcome_url,needs_manual_review
Colin Smith,Vanderbilt,2023-24,Big West,D1,7,2.0,data/cache/sports_reference_d1_profile_audit/colin-smith-1.html,https://www.sports-reference.com/cbb/schools/vanderbilt/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,False
Isaiah Kerr,Chico State,2024-25,Big West,D2,29,2.0,"manual_college_stat_seasons_override: https://basketball.realgm.com/player/Isaiah-Kerr/Summary/200087 (2022-23 Montana redshirt excluded; 2023-24 Chico State, 2024-25 Chico State; then Hawaii)",https://chicowildcats.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/isaiah-kerr-1.html,False
Jamal Hartwell II,George Mason,2021-22,Big West,D1,26,4.0,data/cache/sports_reference_d1_profile_audit/jamal-hartwell-ii-1.html,https://www.sports-reference.com/cbb/schools/george-mason/men/2022.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2023.html,False
Kyle Evans,Colorado State,2023-24,Big West,D1,9,2.0,data/cache/sports_reference_d1_profile_audit/kyle-evans-1.html,https://www.sports-reference.com/cbb/schools/colorado-state/men/2024.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2025.html,False
Justin Rochelin,Oregon State,2023-24,Big West,D1,27,2.0,data/cache/sports_reference_roster_diff_profiles/justin-rochelin-2.html;data/cache/sports_reference_d1_profile_audit/justin-rochelin-2.html,https://www.sports-reference.com/cbb/schools/oregon-state/men/2024.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2025.html,False
B.J. Kolly,Montana State,2024-25,Big West,D1,24,3.0,data/cache/sports_reference_roster_diff_profiles/bj-kolly-1.html;data/cache/sports_reference_d1_profile_audit/bj-kolly-1.html,https://www.sports-reference.com/cbb/schools/montana-state/men/2025.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,False
Pierre Crockrell II,Pacific,2021-22,Big West,D1,30,3.0,data/cache/sports_reference_d1_profile_audit/pierre-crockrellii-1.html,https://www.sports-reference.com/cbb/schools/pacific/men/2022.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2023.html,False
Derrick Michael Xzavierro,GCU,2023-24,Big West,D1,14,1.0,data/cache/sports_reference_roster_diff_profiles/derrick-michael-xzavierro-1.html;data/cache/sports_reference_d1_profile_audit/derrick-michael-xzavierro-1.html,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2025.html,False
Mahmoud Fofana,Cal State San Bernardino,2022-23,Big West,D2,35,3.0,data/cache/sports_reference_d2_outcome_audit/mahmoud-fofana-1.html,https://csusbathletics.com/sports/mens-basketball/stats/2022-23,https://www.sports-reference.com/cbb/players/mahmoud-fofana-1.html,False
Jacob Davison,Eastern Washington,2020-21,Big West,D1,22,4.0,data/cache/sports_reference_d1_profile_audit/jacob-davison-1.html,https://www.sports-reference.com/cbb/schools/eastern-washington/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2022.html,False
Zion Richardson,Quincy,2023-24,Big West,D2,26,4.0,data/cache/sports_reference_d2_outcome_audit/zion-richardson-1.html,https://quhawks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/zion-richardson-1.html,False
Tyler Beard,Pacific,2023-24,Big West,D1,30,3.0,data/cache/sports_reference_roster_diff_profiles/tyler-beard-1.html,https://www.sports-reference.com/cbb/schools/pacific/men/2024.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2025.html,False
Luke Turner,Wofford,2021-22,Big West,D1,29,1.0,data/cache/sports_reference_d1_profile_audit/luke-turner-1.html,https://www.sports-reference.com/cbb/schools/wofford/men/2022.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2023.html,False
Jailen Daniel-Dalton,San Francisco State,2023-24,Big West,D2,31,3.0,"manual_college_stat_seasons_override: https://basketball.realgm.com/player/Jailen-Daniel-Dalton/Summary/181423 (2020-21 Gavilan, 2021-22 Gavilan, 2022-23 DNP/redshirt excluded, 2023-24 San Francisco State; 2024-25 no stats/injury excluded; then UC Riverside)",https://sfstategators.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/jailen-daniel-dalton-1.html,False
Donovan Oday,McNeese,2022-23,Big West,D1,34,1.0,data/cache/sports_reference_roster_diff_profiles/donovan-oday-1.html;data/cache/sports_reference_d1_profile_audit/donovan-oday-1.html,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2024.html,False
Emmanuel Tshimanga,UC Irvine,2021-22,Big West,D1,25,2.0,data/cache/sports_reference_roster_diff_profiles/emmanuel-tshimanga-1.html;data/cache/sports_reference_d1_profile_audit/emmanuel-tshimanga-1.html,https://www.sports-reference.com/cbb/schools/california-irvine/men/2022.html,https://www.sports-reference.com/cbb/schools/california-san-diego/men/2023.html,False
Kieves Turner,San Diego,2023-24,Big West,D1,31,4.0,data/cache/sports_reference_roster_diff_profiles/deuce-turner-1.html;data/cache/sports_reference_d1_profile_audit/deuce-turner-1.html,https://www.sports-reference.com/cbb/schools/san-diego/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,False
Max Murrell,Stanford,2023-24,Big West,D1,17,4.0,data/cache/sports_reference_d1_profile_audit/max-murrell-1.html,https://www.sports-reference.com/cbb/schools/stanford/men/2024.html,https://www.sports-reference.com/cbb/schools/california-santa-barbara/men/2025.html,False
Ethan Igbanugo,North Dakota,2021-22,Big West,D1,29,4.0,data/cache/sports_reference_d1_profile_audit/ethan-igbanugo-1.html,https://www.sports-reference.com/cbb/schools/north-dakota/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html,False
Shaquil Bender,Manhattan,2024-25,Big West,D1,31,4.0,data/cache/sports_reference_d1_profile_audit/shaquil-bender-1.html,https://www.sports-reference.com/cbb/schools/manhattan/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,False
Jaden Henderson,Concordia Irvine,2024-25,Big West,D2,28,5.0,"manual_college_stat_seasons_override: https://basketball.realgm.com/player/Jaden-Henderson/Summary/171900 (2020-21 William Jessup, 2021-22 Midland, 2022-23 Midland, 2023-24 York, 2024-25 Concordia; then Cal State Fullerton)",https://cuigoldeneagles.com/sports/mens-basketball/stats/2024-25,https://www.sports-reference.com/cbb/players/jaden-henderson-1.html,False
Bailey Nunn,Sacramento State,2024-25,Big West,D1,30,2.0,data/cache/sports_reference_d1_profile_audit/bailey-nunn-1.html,https://www.sports-reference.com/cbb/schools/sacramento-state/men/2025.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2026.html,False
Garrison Wade,Dartmouth,2021-22,Big West,D1,25,3.0,data/cache/sports_reference_d1_profile_audit/garrison-wade-1.html,https://www.sports-reference.com/cbb/schools/dartmouth/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-state-fullerton/men/2023.html,False
Isaiah Lewis,Little Rock,2024-25,Big West,D1,33,2.0,data/cache/sports_reference_roster_diff_profiles/isaiah-lewis-4.html;data/cache/sports_reference_d1_profile_audit/isaiah-lewis-4.html;data/cache/sports_reference_roster_diff_profiles/isaiah-lewis-1.html,https://www.sports-reference.com/cbb/schools/arkansas-little-rock/men/2025.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2026.html,False
