player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_url,barttorvik_player_name,barttorvik_team,match_status,source_file
Rikus Schulte,rikus-schulte,UC Riverside,uc-riverside,2024-25,0.803402,https://barttorvik.com/playerstat.php?year=2025&p=78953,Rikus Schulte,UC Riverside,matched_player_and_team,Bart data/trank_data_2025.csv
Fidelis Okereke,fidelis-okereke,Cal State Bakersfield,cal-state-bakersfield,2023-24,0.0906209,https://barttorvik.com/playerstat.php?year=2024&p=72234,Fidelis Okereke,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2024.csv
Christian Gray,christian-gray,Cal State Northridge,cal-state-northridge,2021-22,-0.175665,https://barttorvik.com/playerstat.php?year=2022&p=67846,Christian Gray,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2022.csv
Ryan Rapp,ryan-rapp,Hawaii,hawaii,2022-23,0.744212,https://barttorvik.com/playerstat.php?year=2023&p=70617,Ryan Rapp,Hawaii,matched_player_and_team,Bart data/trank_data_2023.csv
Kaleb Brown,kaleb-brown,Cal State Fullerton,cal-state-fullerton,2024-25,-0.39654,https://barttorvik.com/playerstat.php?year=2025&p=75755,Kaleb Brown,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2025.csv
Nick Fleming,nick-fleming,Cal Poly,cal-poly,2022-23,-0.450027,https://barttorvik.com/playerstat.php?year=2023&p=72871,Nick Fleming,Cal Poly,matched_player_and_team,Bart data/trank_data_2023.csv
Jasman Sangha,jasman-sangha,Cal State Northridge,cal-state-northridge,2023-24,0.716341,https://barttorvik.com/playerstat.php?year=2024&p=75539,Jasman Sangha,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2024.csv
Messiah Thompson,messiah-thompson,Long Beach State,long-beach-state,2023-24,-0.00542929,https://barttorvik.com/playerstat.php?year=2024&p=70352,Messiah Thompson,Long Beach St.,matched_player_and_team,Bart data/trank_data_2024.csv
Cam Denson,cam-denson,Long Beach State,long-beach-state,2024-25,-0.173351,https://barttorvik.com/playerstat.php?year=2025&p=76956,Cam Denson,Long Beach St.,matched_player_and_team,Bart data/trank_data_2025.csv
Judson Martindale,judson-martindale,Cal State Northridge,cal-state-northridge,2024-25,0.375192,https://barttorvik.com/playerstat.php?year=2025&p=73839,Judson Martindale,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2025.csv
