first_wcc_season,destination_school,player_name,source_school,source_conference,source_level,source_season,class,position,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,candidate_action
2022-23,San Diego,Deven Dahlke,Drake,MVC,D1,2021-22,SO,G,8,4.9,1.3,0.5,0.1,0.3,0.0,0.1,.400,.250,.500,.450,https://www.sports-reference.com/cbb/players/deven-dahlke-1.html,add_transfer_row_and_d1_source_stats
2022-23,San Diego,Eric Williams,Oregon,Pac-12,D1,2021-22,SR,G,33,26.8,8.4,4.6,1.2,1.1,0.1,1.2,.376,.351,.679,.451,https://www.sports-reference.com/cbb/players/eric-williamsjr-1.html,add_transfer_row_and_d1_source_stats
2022-23,San Diego,Jaiden Delaire,Stanford,Pac-12,D1,2021-22,SR,F,32,23.6,10.1,4.0,1.1,0.6,0.4,2.2,.425,.323,.662,.467,https://www.sports-reference.com/cbb/players/jaiden-delaire-1.html,add_transfer_row_and_d1_source_stats
2022-23,San Diego,Nic Lynch,Lehigh,Patriot,D1,2021-22,SR,C,32,21.0,9.7,4.4,0.6,0.1,0.4,1.1,.519,.459,.870,.584,https://www.sports-reference.com/cbb/players/nic-lynch-1.html,add_transfer_row_and_d1_source_stats
2022-23,San Diego,Seikou Sisoho Jawara,Weber State,Big Sky,D1,2021-22,JR,G,33,34.2,12.2,2.4,3.0,1.2,0.1,2.4,.470,.426,.795,.573,https://www.sports-reference.com/cbb/players/seikou-sisohojawara-1.html,add_transfer_row_and_d1_source_stats
2024-25,San Diego,Colby Brooks,Gonzaga,WCC,D1,2023-24,JR,F,14,3.0,1.0,1.2,0.1,0.0,0.0,0.1,.333,.000,.444,.333,https://www.sports-reference.com/cbb/players/colby-brooks-1.html,add_transfer_row_and_d1_source_stats
2025-26,San Diego,Assane Diop,Colorado,Big 12,D1,2024-25,SO,F,35,15.1,3.8,3.7,0.8,0.3,0.1,1.1,.389,.200,.791,.416,https://www.sports-reference.com/cbb/players/assane-diop-2.html,add_transfer_row_and_d1_source_stats
2025-26,San Diego,Dominique Ford,Southern Utah,WAC,D1,2024-25,SR,G,25,26.9,14.5,2.8,1.4,1.0,0.1,1.5,.419,.320,.896,.503,https://www.sports-reference.com/cbb/players/dominique-ford-1.html,add_transfer_row_and_d1_source_stats
2025-26,San Diego,Juan Sebastian Gorosito,Ball State,MAC,D1,2024-25,JR,G,31,26.2,8.9,2.3,1.7,0.9,0.1,1.2,.414,.409,.741,.577,https://www.sports-reference.com/cbb/players/juan-sebastian-gorosito-1.html,add_transfer_row_and_d1_source_stats
2025-26,San Diego,Tim Moore,NJIT,AmEast,D1,2024-25,SR,F,30,26.7,12.9,6.7,0.2,0.7,1.4,1.2,.513,.365,.783,.563,https://www.sports-reference.com/cbb/players/tim-moore-3.html,add_transfer_row_and_d1_source_stats
